"","GEOID10","stops2010","pop2010","stops2011","pop2011","stops2012","pop2012"
"1",36005000200,72,4334,74,4334,76,4334
"2",36005000400,45,5503,133,5503,81,5503
"3",36005001600,209,5643,366,5643,173,5643
"4",36005001900,146,1917,142,1917,157,1917
"5",36005002000,1160,8731,969,8731,980,8731
"6",36005002300,1324,4933,1008,4933,461,4933
"7",36005002400,11,4,23,4,11,4
"8",36005002500,1153,5491,766,5491,945,5491
"9",36005002701,1226,3113,884,3113,1015,3113
"10",36005002702,354,4475,317,4475,443,4475
"11",36005002800,291,5586,266,5586,123,5586
"12",36005003100,101,1597,158,1597,98,1597
"13",36005003300,289,3413,324,3413,363,3413
"14",36005003500,580,3761,678,3761,616,3761
"15",36005003700,286,245,126,245,337,245
"16",36005003800,69,1264,178,1264,79,1264
"17",36005003900,702,6475,851,6475,1496,6475
"18",36005004001,40,1420,32,1420,13,1420
"19",36005004100,1369,6127,1561,6127,1925,6127
"20",36005004200,875,7143,1327,7143,833,7143
"21",36005004300,718,5056,959,5056,1476,5056
"22",36005004400,1157,4797,809,4797,645,4797
"23",36005004600,165,1555,268,1555,102,1555
"24",36005004800,435,3883,1476,3883,510,3883
"25",36005005001,408,4767,758,4767,526,4767
"26",36005005002,667,5823,1833,5823,715,5823
"27",36005005100,1355,5810,1854,5810,3207,5810
"28",36005005200,156,2031,358,2031,108,2031
"29",36005005300,59,4669,27,4669,4,4669
"30",36005005400,400,5853,1000,5853,508,5853
"31",36005005600,207,2711,301,2711,165,2711
"32",36005005902,56,2582,69,2582,60,2582
"33",36005006000,64,1129,75,1129,87,1129
"34",36005006100,332,3713,417,3713,270,3713
"35",36005006200,722,6585,788,6585,684,6585
"36",36005006300,872,5280,817,5280,747,5280
"37",36005006400,112,3967,106,3967,81,3967
"38",36005006500,1329,5337,1060,5337,989,5337
"39",36005006700,1678,6984,944,6984,998,6984
"40",36005006800,149,2897,157,2897,65,2897
"41",36005006900,1002,7564,703,7564,334,7564
"42",36005007000,226,4584,384,4584,227,4584
"43",36005007100,200,1907,213,1907,297,1907
"44",36005007200,114,5432,265,5432,175,5432
"45",36005007300,625,3893,1300,3893,603,3893
"46",36005007400,53,3710,67,3710,101,3710
"47",36005007500,596,4869,695,4869,658,4869
"48",36005007600,158,5190,209,5190,213,5190
"49",36005007700,124,1927,208,1927,108,1927
"50",36005007800,173,6418,168,6418,130,6418
"51",36005007900,1055,6733,1749,6733,1030,6733
"52",36005008300,580,6155,567,6155,502,6155
"53",36005008400,17,2374,18,2374,7,2374
"54",36005008500,695,5457,786,5457,556,5457
"55",36005008600,740,4176,804,4176,780,4176
"56",36005008700,1103,5466,1707,5466,947,5466
"57",36005008900,300,3177,434,3177,273,3177
"58",36005009000,608,3667,426,3667,467,3667
"59",36005009200,191,5017,220,5017,110,5017
"60",36005009300,876,6356,1393,6356,1275,6356
"61",36005009600,371,2594,301,2594,191,2594
"62",36005009800,51,5038,122,5038,78,5038
"63",36005011000,21,151,40,151,14,151
"64",36005011502,1024,4340,1231,4340,1166,4340
"65",36005011700,261,1585,389,1585,329,1585
"66",36005011800,38,5089,46,5089,32,5089
"67",36005011900,713,5698,1382,5698,966,5698
"68",36005012101,244,3090,371,3090,251,3090
"69",36005012102,208,1631,317,1631,193,1631
"70",36005012300,295,4152,498,4152,342,4152
"71",36005012500,465,3905,513,3905,395,3905
"72",36005012701,405,2253,491,2253,323,2253
"73",36005012901,807,4015,1134,4015,896,4015
"74",36005013000,12,1032,6,1032,2,1032
"75",36005013100,900,5103,1004,5103,622,5103
"76",36005013200,150,5890,146,5890,84,5890
"77",36005013300,915,6384,937,6384,746,6384
"78",36005013500,728,3583,656,3583,427,3583
"79",36005013800,64,3042,81,3042,37,3042
"80",36005014100,299,3437,406,3437,240,3437
"81",36005014300,104,1003,335,1003,185,1003
"82",36005014400,642,5880,730,5880,307,5880
"83",36005014500,1086,5816,1336,5816,723,5816
"84",36005014701,776,6461,765,6461,671,6461
"85",36005014702,848,5110,630,5110,687,5110
"86",36005014900,514,4591,424,4591,200,4591
"87",36005015100,704,5409,878,5409,530,5409
"88",36005015200,99,2341,117,2341,70,2341
"89",36005015300,595,4031,583,4031,380,4031
"90",36005015500,551,3005,445,3005,359,3005
"91",36005015700,498,3580,638,3580,397,3580
"92",36005015800,21,1206,43,1206,23,1206
"93",36005015900,862,2164,1143,2164,784,2164
"94",36005016000,22,3767,59,3767,16,3767
"95",36005016100,486,4380,579,4380,276,4380
"96",36005016200,21,1769,31,1769,19,1769
"97",36005016300,330,0,274,0,147,0
"98",36005016400,23,1141,33,1141,20,1141
"99",36005016500,111,1077,149,1077,124,1077
"100",36005016600,35,2166,28,2166,15,2166
"101",36005016700,214,2047,200,2047,148,2047
"102",36005016900,248,1663,159,1663,96,1663
"103",36005017100,21,0,27,0,23,0
"104",36005017300,297,5987,592,5987,968,5987
"105",36005017500,964,6911,2444,6911,1701,6911
"106",36005017701,287,4294,852,4294,586,4294
"107",36005017702,306,4805,404,4805,317,4805
"108",36005017901,291,4677,421,4677,710,4677
"109",36005017902,305,3587,676,3587,822,3587
"110",36005018101,593,3300,767,3300,371,3300
"111",36005018102,670,5555,356,5555,781,5555
"112",36005018301,239,4525,155,4525,227,4525
"113",36005018302,185,3647,302,3647,228,3647
"114",36005018400,121,3855,121,3855,87,3855
"115",36005018500,753,7466,1055,7466,428,7466
"116",36005018900,451,7752,397,7752,322,7752
"117",36005019300,340,5461,346,5461,322,5461
"118",36005019400,206,1903,278,1903,196,1903
"119",36005019500,734,7756,482,7756,332,7756
"120",36005019700,1295,7501,1279,7501,1014,7501
"121",36005019900,234,8154,299,8154,303,8154
"122",36005020000,368,4878,372,4878,230,4878
"123",36005020100,156,4013,199,4013,114,4013
"124",36005020200,157,2155,166,2155,82,2155
"125",36005020400,173,2976,212,2976,115,2976
"126",36005020501,187,6996,172,6996,120,6996
"127",36005020502,137,1764,182,1764,41,1764
"128",36005020601,128,3050,92,3050,45,3050
"129",36005020900,204,4361,282,4361,321,4361
"130",36005021001,69,8521,128,8521,37,8521
"131",36005021002,69,6839,122,6839,42,6839
"132",36005021100,239,5565,256,5565,186,5565
"133",36005021200,40,5267,94,5267,33,5267
"134",36005021301,85,1201,159,1201,54,1201
"135",36005021302,168,5415,238,5415,158,5415
"136",36005021501,276,3506,203,3506,89,3506
"137",36005021502,270,6051,401,6051,118,6051
"138",36005021601,334,4206,761,4206,450,4206
"139",36005021602,129,5769,252,5769,136,5769
"140",36005021700,317,5334,354,5334,189,5334
"141",36005021800,352,6499,751,6499,337,6499
"142",36005021900,410,1367,599,1367,574,1367
"143",36005022000,64,1487,76,1487,92,1487
"144",36005022101,515,3849,392,3849,279,3849
"145",36005022102,477,5488,419,5488,351,5488
"146",36005022200,415,3425,548,3425,328,3425
"147",36005022300,899,5047,1133,5047,1287,5047
"148",36005022401,169,2708,165,2708,103,2708
"149",36005022403,273,3188,533,3188,463,3188
"150",36005022404,198,4509,276,4509,183,4509
"151",36005022500,528,7698,888,7698,1111,7698
"152",36005022701,281,5196,316,5196,140,5196
"153",36005022702,252,1699,294,1699,212,1699
"154",36005022703,40,1556,90,1556,35,1556
"155",36005022800,208,6218,220,6218,132,6218
"156",36005022901,345,5370,513,5370,167,5370
"157",36005022902,246,3273,273,3273,226,3273
"158",36005023000,199,2950,205,2950,155,2950
"159",36005023100,92,1537,164,1537,80,1537
"160",36005023200,180,2661,268,2661,179,2661
"161",36005023301,638,4377,326,4377,252,4377
"162",36005023302,115,3415,229,3415,91,3415
"163",36005023501,207,3341,391,3341,216,3341
"164",36005023502,435,4386,452,4386,335,4386
"165",36005023600,137,1907,125,1907,118,1907
"166",36005023702,213,1241,121,1241,60,1241
"167",36005023703,1312,5253,942,5253,380,5253
"168",36005023704,442,3758,809,3758,231,3758
"169",36005023800,209,2615,230,2615,199,2615
"170",36005023900,1358,8348,1904,8348,1087,8348
"171",36005024000,454,3882,537,3882,419,3882
"172",36005024100,1023,6182,1535,6182,694,6182
"173",36005024300,432,5685,564,5685,237,5685
"174",36005024400,56,2120,39,2120,26,2120
"175",36005024501,267,4864,176,4864,106,4864
"176",36005024502,239,3640,197,3640,106,3640
"177",36005024600,25,2058,21,2058,11,2058
